listing_id,name,city,latitude,longitude,price,room_type,accommodates
1013191,Lindo Apartamento para 4 pessoas,Rio de Janeiro,-22.98557,-43.36538,249,Entire place,4
1013370,Your Home when in Rome,Rome,41.93482,12.53119,65,Entire place,5
1013504,"OASIS IN COYOACAN, SHARED HOUSE",Mexico City,19.34034,-99.18345,286,Private room,1
1013648,Gorgeous 2 Fl Apt in1887 Brownstone,New York,40.67541,-73.9784,225,Entire place,5
1014376,Private house with patio garden in Ostia Antica,Rome,41.765,12.30571,40,Entire place,4
1014428,SWEET ROOM IN IPANEMA,Rio de Janeiro,-22.98443,-43.20052,220,Private room,2
1014544,"Modern room, central Surry Hills",Sydney,-33.88059,151.21315,96,Private room,2
1014685,quiet room in Rome near metroA,Rome,41.87154,12.54715,26,Private room,2
1014844,"Quit&Standing App, next 'Place des Vosges', for 3",Paris,48.85529,2.36743,100,Entire place,3
1014961,Le Marais-St Paul,Paris,48.85722,2.35792,135,Entire place,4
1015036,Montmartre sacre coeur,Paris,48.88455,2.33933,117,Entire place,4
1015045,ipa vis 506,Rio de Janeiro,-22.98571,-43.1953,754,Entire place,2
1015199,Saint Germain Odeon Magnifique !,Paris,48.84996,2.33813,180,Entire place,4
1015224,Double room + ensuite near Vatican,Rome,41.90396,12.44392,50,Private room,2
1015351,Leblon Penthouse Terrace,Rio de Janeiro,-22.98393,-43.22437,813,Entire place,5
1015669,A Colosseo Room 3,Rome,41.89137,12.49253,122,Private room,2
1015818,Chez l'ami @ centre of Marais 35m2,Paris,48.85778,2.35799,200,Entire place,4
1015838,Colosseo Panoramic room 1,Rome,41.89137,12.49253,136,Private room,3
1016004,Clean and Cute Shared Room in Very Safe Area,New York,40.76777,-73.91109,39,Shared room,2
1016105,BK - Spacious & Sunny 4 bedroom apartment,New York,40.68924,-73.9681,200,Entire place,6
1016312,Room in Botafogo (close Copacabana),Rio de Janeiro,-22.955,-43.18535,230,Private room,2
1016320,Eat Love & Pray by Tour Eiffel (10' walk UNESCO),Paris,48.84797,2.29659,120,Entire place,2
1016415,"Beautiful ""Albert Cottage"" In Avalon Beach",Sydney,-33.62124,151.33773,151,Entire place,5
1016487,Private room in Bangkok,Bangkok,13.82123,100.58337,350,Private room,2
1016722,Galata & Fresh Renovated & 2 BR  & Private Garden,Istanbul,41.02853,28.9777,763,Entire place,6
1016739,Private Room (2)  in Guest House at Coogee Beach,Sydney,-33.92489,151.25566,64,Private room,2
1016749,Inviting Loft Combining History and Modernity,Rome,41.89095,12.47053,100,Entire place,4
1016855,FURNISHED Sheung Wan FLATSHARE,Hong Kong,22.2861,114.15099,247,Private room,1
1016865,Typical/wonderful Parisian flat,Paris,48.84934,2.31947,149,Entire place,6
